keyword,remarks,
RESCUE,"@DickGordonDG BIAY STA. CRUZ, ZAMBALES now under water, my hometown & my family asking for HELP. Here's KGWD status pic.twitter.com/tjgBBNSmGI",
RESCUE,"@DickGordonDG BIAY STA. CRUZ, ZAMBALES now under water, my hometown & my family asking for HELP. Here's KGWD status pic.twitter.com/tjgBBNSmGI",
RESCUE,"Charlote Ventosa @CharloteVentosa #RescuePH San Mariano, San Antonio, Nueva Ecija. EMERGENCY. Dun po sa may poultry malapit sa Elementary School @philredcross https://twitter.com/CharloteVentosa/status/656015542730420224",
RESCUE,"RT @jvmgrospe: #RescuePH @ProjectAgos Primavera Subd near SM mall along national hwy south of Cabanatuan, homes submerged. Rescue needed",
RESCUE,Need rescue trucks,
RESCUE,@NDRRMC_OpCen @philredcross Paulo Balasico. Bakod Bayan Cabanatuan. No contact since yesterday. No news still. Contact 09357624776 #RescuePH https://twitter.com/happyhopeeeee/status/656052356883214337,
RAIN,Sudden rainfall!,
RAIN,Sudden intense rain,
BRGY,Heavy rainfall,
RAIN,Heavy rains suddenly :(,
RAIN,intense rain suddenly subsided,
RAIN,Rain showers ,
EARTHQUAKE,Slight earthquake ,
EARTHQUAKE,Mild earthquake,
EARTHQUAKE,Mild Earthquake,
EARTHQUAKE,Mild earthquake,
EARTHQUAKE,Mild earthquake,
EARTHQUAKE,5.4 magnitude earthquake,
RAIN,Sporadic bursts of wind and rain occurring the whole evening,
RAIN,Heavy rainfall,
RESCUE,@NDRRMC_OpCen #RescuePH #RescueCabiaoNuevaEcija BloomfieldSubd. Bagong Silang Cabiao. Wala akong update since yesterday. Pls help https://twitter.com/JusenChen/status/656138523888766977,
BROWNOUT,Brownout ,
BROWNOUT,Brownout ,
BROWNOUT,Brownout ,
BROWNOUT,Brownout ,
BROWNOUT,Brownout ,
BROWNOUT,Brownout ,
BROWNOUT,Brownout ,
BROWNOUT,Brownout ,
BROWNOUT,Brownout ,
BROWNOUT,Brownout ,
BROWNOUT,Brownout ,
BROWNOUT,Brownout ,
BROWNOUT,Brownout ,
BROWNOUT,Power loss,
EVACUATE,Evacuation,
EVACUATE,Rescue,
BRGY,Felled mango tree,
BRGY,Felled tree at brgy parian este residence of montanez family house at risk of damage due to weight of felled tree,
BRGY,Total Damage brgy hall at brgy pilar due to storm surge and wind,
RAIN,Municipal Condition,
RESCUE,"#LandoPH Pls help hundreds of stranded bus passengers along highway past San Jose City, NE, many children hungry, thirsty!",
RELIEF,Pls provide food at #7 clamonte st. Aduas Cabanatuan. They can't buy food anywhere.,
BROWNOUT,@kurimau24 state of calamity ang lugar ko. Til now wala pang kuryente nagpunta pa ako ng dag para lang magcharge. #LandoPH,
FLOOD,DO-RAYMOND �ۏ@raymondtindugan CASIGURAN AURORA NASA STATE OF CALAMITY NA !!!! OHNUUU ! #PrayForAuroraPH #LandoPH #PakyuLando https://twitter.com/raymondtindugan/status/656320012941000704,
BROWNOUT,"NDRRMC: Power outage still experienced in Quirino, Nueva Vizcaya, Aurora, Kalinga and Mt. Province #LandoPH @ABSCBNNews",
BROWNOUT,"Aaron Pangilinan �ۏ@JohnAaronCP: Wala pa rin po kami kuryente, internet at cable dito po sa San Antonio. Ikamamatay ko na po ito. Plsss naman po! #RescuePH",
RESCUE,RT @charisse916: @NDRRMC_OpCen #RescuePH Pls help NELSON TUMIBAY 177 valino st aduas cabanatuan city Trapped sa bubong ng bahay @ProjectAgos,
BRGY,TRAINING #AGOSTEST,
FLOOD,kath // �ۏ@karadesu_: OMG. What do we do. #LandoPH https://twitter.com/karadesu_/status/656347175840968704,
RESCUE,Kris Manalo �ۏ@kringkringako: Help my home please! #LandoPh #PhilippineNationalRedCross #SagipKapamilya��_ https://instagram.com/p/8_lSF9P7DdUhFVoGDBdw1FDgvr1Xcv3KLUjJU0/ ��_ https://twitter.com/kringkringako/status/655853011495972864,
FLOOD,ully submerged with debris mostly made up of driftwood.,
ROAD,Broken Bato Ferry Bridge,
FLOOD,Houses remain flooded but are lower as compared to last night,
FLOOD,"While flooded portion of Tuguegarao City is starting to recede, some houses still submerged in murky water. #LandoPH pic.twitter.com/IDZP2m��_",
FLOOD,"Some areas in Nueva Ecija, Tarlac remain flooded #LandoPH ",
FLOOD,"Residents of Sto. Tomas, Isabela ride boats to get home due to swollen river",
BROWNOUT,@JericVPrudente: Day 3 of  having no electricity. #LandoPH,
FLOOD,mikatweets @ChikaWithMika: This used to be a dry landscape.... Now it's a lake #landoPH #rosales #pangasinan pic.twitter.com/3Clu4HWppY https://twitter.com/ChikaWithMika/status/656299244484038660,
WIND,@HuidemJessika : Strong winds heavy rains #LandoPH #Baguio,
BROWNOUT,Day 4 @ Baler. Wala pa din kuryente! Thanks typhoon Lando #LandoPh :(,
BROWNOUT,Day 4 @ Baler. Wala pa din kuryente! Thanks typhoon Lando #LandoPh :( https://twitter.com/furr_dee/status/656421532017672192,
FLOOD,Isla baybay _���_��_ #landoph #arayatpampanga #riverside #flood (@ Tindahan ni Mang John) https://www.swarmapp.com/c/cYiv6TC1HSx  | https://twitter.com/PamPhiTic/status/656422002841034752,
BROWNOUT,Day 4 No Electricity,
BRGY,80 percent of power in Bauang restored,
WIND,municipal update,
RAIN,Municipal Update,
WIND,Municipal Update,
BRGY,No Traffic,
RAIN,Heavy Rains,
FIRE,Fire ongoing,
HEALTH,The haze is all over the school,
BRGY,News from eBayanihan: You can start to attach a photo in your CitReport,
BRGY,good weather,
BRGY,LCAAP    workshop@ Baguio city,
BRGY,LCAAP    workshop@ Baguio city,
BRGY,No traffic,
BRGY,No traffic,
BRGY,No Traffic,
BRGY,TRAINING #AGOSTEST,
BRGY,TRAINING #AGOSTEST,
RELIEF,MANY FAMILIES ARE ALL SUFFERING OF HUNGER ALREADY,
BRGY,TRAINING #AGOSTEST,
RAIN,LA UNION #AGOSTEST,
BRGY,TRAINING #AGOSTEST,
FLOOD,NOT PASSABLE,
BRGY,#AGOSTEST,
BRGY,TRAINING #AGOSTEST,
BRGY,TRAINING #AGOSTEST,
TAGTUYOT,TUBIG,
BRGY,List of areas under storm warning signals http://www.rappler.com/nation/special-coverage/weather-alert/115878-nona-typhoon-5pm?utm_source=facebook&utm_medium=referral,
BRGY,List of areas under storm warning signals http://www.rappler.com/nation/special-coverage/weather-alert/115878-nona-typhoon-5pm,
RAIN,"Heavy rain since about 6 AM, still overcast and there is some wind.",
RAIN,Moderate rainfall ,
BAGYO,Very strong rain and stong winds here in Naga city since 3pm,
BRGY,Stopped raining here in QC Katipunan,
WIND,Rains have stopped for now but the wind is getting scary.,
RAIN,STARTED RAINING,
RAIN,,
BRGY,Moderate flow of traffic,
RAIN,LIGHT RAIN,
ROAD,MODERATE TO HEAVY,
WIND,STRONG WINDS,
BRGY,@GovRamil: #WalangPasok Laguna Province All Levels Dec. 16 https://twitter.com/govph/status/676699899728146432,
BRGY,"Mayor Meynard: #WalangPasok Lipa City, Batangas ALL LEVELS Dec. 16 https://twitter.com/ABSCBNNews/status/676695324669296640",
BRGY,@OFFICIALMUNTI: #WalangPasok Muntinlupa ALL LEVELS Dec. 16 https://twitter.com/ABSCBNNews/status/676698665294032896,
BRGY,"Typhoon  Nona  is about to make a landfall over Pinamalyan,Or.Mindoro - Mayor Meynard Sabili suspends classes in Lipa City in all levels,Dec.16 both public & private.",
BROWNOUT,"Brownout since 3pm today, Barangay Bonliw, San Luis, Batangas..Experiencing strong winds and heavy rains",
RAIN,RAINING VERY HARD,
RAIN,Moderate to heavy rain!!,
FLOOD,YELLOW WARNING ON LOW LYIN AREAS,
RAIN,UMAAMBON NA LANG,
RAIN,Moderate to light Rainfall ,
RAIN,,
RAIN,Rain stopped,
RAIN,Not raining here in Katipunan,
RAIN,LIGHT RAINFALL,
RAIN,Not raining here,
BRGY,Fair weather in Palawan,
BRGY,BARANGAY UPDATE,
RAIN,Strong rains,
WIND,Windy,
FIRE,,
CRIME,,
CRIME,,
CRIME,,
CRIME,,
BRGY,Cloudy,
BRGY,Sunny day,
RAIN,Strong Winds,
BRGY,Clear Skies,
BRGY,"Clear skies, windy",
BRGY,Clear Skies,
BRGY,slight drizzle,
BRGY,Fair evening,
BRGY,Clear skies this morning,
BRGY,Gloomy Skies,
